trip_type,segment,factor
N_HB_K12_All,v0,0.395
N_HB_K12_All,vi,0.574
N_HB_K12_All,vs,1.305
N_HB_OD_Long,v0,0.489
N_HB_OD_Long,vi,0.63
N_HB_OD_Long,vs,1.277
N_HB_OD_Short,v0,0.523
N_HB_OD_Short,vi,0.795
N_HB_OD_Short,vs,1.267
N_HB_OME_All,v0,0.757
N_HB_OME_All,vi,0.753
N_HB_OME_All,vs,1.339
N_HB_OMED_All,v0,1.711
N_HB_OMED_All,vi,0.748
N_HB_OMED_All,vs,1.324
W_HB_EK12_All,vi,0.861
W_HB_EK12_All,vs,1.37
W_HB_O_All,v0,0.764
W_HB_O_All,vi,0.802
W_HB_O_All,vs,1.275
W_HB_W_All,v0,0.877
W_HB_W_All,vi,0.632
W_HB_W_All,vs,0.88
