Alternative,Expression,Filter,Coefficient,Description
sov,trips.One,,3.766,Constant
sov,trips.One,trips.MarketSegmentCode = 1,-99,Auto Availability
sov,parking.MC_LS_NonWork.D,,0.05833,Parking
sov,se.HiIncomePct.O,,1.232,High income
sov,sov_skim.CongTime,,-0.162,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.816944,Toll cost
hov2,trips.One,,3.842,Constant
hov2,trips.One,trips.MarketSegmentCode = 1,0.6791,Zero-vehicle households
hov2,trips.One,trips.MarketSegmentCode = 2,0.6791,Vehicle insufficient households
hov2,parking.MC_LS_NonWork.D,,0.05833,Parking
hov2,se.HiIncomePct.O,,0.738,High income
hov2,hov_skim.CongTime,,-0.162,Travel time
hov2,hov_skim.[TollCostHOV (Skim)],,-0.816944,Toll cost
hov2,se.HHSize1Pct.O,,-3.111,Percent of 1-person HHs
hov3,trips.One,,3.479,Constant
hov3,trips.One,trips.MarketSegmentCode = 1,0.6791,Zero-vehicle households
hov3,trips.One,trips.MarketSegmentCode = 2,0.6791,Vehicle insufficient households
hov3,parking.MC_LS_NonWork.D,,0.05833,Parking
hov3,se.HiIncomePct.O,,0.738,High income
hov3,hov_skim.CongTime,,-0.162,Travel time
hov3,hov_skim.[TollCostHOV (Skim)],,-0.816944,Toll cost
hov3,se.HHSize1Pct.O,,-3.111,Percent of 1-person HHs
other_auto,trips.One,trips.MarketSegmentCode = 1,2.825,Zero-vehicle households
other_auto,trips.One,trips.MarketSegmentCode = 2,2.825,Vehicle insufficient households
other_auto,sov_skim.CongTime,,-0.1752,Travel time
other_auto,sov_skim.[TollCostSOV (Skim)],,-0.88351,Toll cost
other_auto,parking.MC_LS_NonWork.D,,0.1606,Parking
auto_pay,trips.One,,1.944,Constant
auto_pay,trips.One,trips.MarketSegmentCode = 1,2.702,Zero-vehicle households
auto_pay,trips.One,trips.MarketSegmentCode = 2,2.702,Vehicle insufficient households
auto_pay,hov_skim.CongTime,,-0.08639,Travel time
auto_pay,se.PKTNCWait.O,,-0.08639,Auto wait time
auto_pay,hov_skim.auto_pay_fare,,-0.435653,Auto fare
auto_pay,trips.One,trips.MarketSegmentCode = 1,2.43182,Additional Calibration Constant
other_auto,trips.One,trips.MarketSegmentCode = 1,-0.055453,Additional Calibration Constant
sov,trips.One,trips.MarketSegmentCode = 2,2.41172,Additional Calibration Constant
hov2,trips.One,trips.MarketSegmentCode = 2,2.78729,Additional Calibration Constant
hov3,trips.One,trips.MarketSegmentCode = 2,3.01592,Additional Calibration Constant
auto_pay,trips.One,trips.MarketSegmentCode = 2,3.72002,Additional Calibration Constant
other_auto,trips.One,trips.MarketSegmentCode = 2,1.00964,Additional Calibration Constant
sov,trips.One,trips.MarketSegmentCode = 3,0.283405,Additional Calibration Constant
hov2,trips.One,trips.MarketSegmentCode = 3,0.717217,Additional Calibration Constant
hov3,trips.One,trips.MarketSegmentCode = 3,0.653686,Additional Calibration Constant
auto_pay,trips.One,trips.MarketSegmentCode = 3,2.69549,Additional Calibration Constant
other_auto,trips.One,trips.MarketSegmentCode = 3,0.465803,Additional Calibration Constant
w_lb,trips.One,,3.663,Constant
w_lb,trips.One,trips.MarketSegmentCode = 1,3.393,Zero-vehicle households
w_lb,trips.One,trips.MarketSegmentCode = 2,3.393,Vehicle insufficient households
w_lb,w_lb_skim.[In-Vehicle Time],,-0.046,IVTT and Fare (converted by VOT)
w_lb,w_lb_skim.Fare,,-0.232,Fare
w_lb,w_lb_skim.[Access Walk Time],,-0.1461,Access walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.123,Initial wait time
w_lb,w_lb_skim.[Egress Walk Time],,-0.1972,Egress walk time
w_lb,w_lb_skim.[Number of Transfers] > 1,,-1.4619,High transfers
w_eb,trips.One,,3.081,Constant
w_eb,trips.One,trips.MarketSegmentCode = 1,3.393,Zero-vehicle households
w_eb,trips.One,trips.MarketSegmentCode = 2,3.393,Vehicle insufficient households
w_eb,w_eb_skim.[In-Vehicle Time],,-0.046,IVTT and Fare (converted by VOT)
w_eb,w_eb_skim.Fare,,-0.232,Fare
w_eb,w_eb_skim.[Access Walk Time],,-0.1461,Access walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.123,Initial wait time
w_eb,w_eb_skim.[Egress Walk Time],,-0.1972,Egress walk time
w_eb,w_eb_skim.[Number of Transfers] > 1,,-1.4619,High transfers
