Alternative,Expression,Filter,Coefficient,Description
sov,trips.One,,4.704,Constant
sov,trips.One,trips.MarketSegmentCode = 1,-99,Auto Availability
sov,se.HiIncomePct.O,,0.08253,High income
sov,sov_skim.CongTime,,-0.1062,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.388584,Toll
hov2,trips.One,,3.627,Constant
hov2,trips.One,trips.MarketSegmentCode = 1,-99,Auto Availability
hov2,se.HiIncomePct.O,,0.08253,High income
hov2,hov_skim.CongTime,,-0.1062,Travel time
hov2,hov_skim.[TollCostHOV (Skim)],,-0.388584,Toll
hov3,trips.One,,3.297,Constant
hov3,trips.One,trips.MarketSegmentCode = 1,-99,Auto Availability
hov3,se.HiIncomePct.O,,0.08253,High income
hov3,hov_skim.CongTime,,-0.1062,Travel time
hov3,hov_skim.[TollCostHOV (Skim)],,-0.388584,Toll
other_auto,trips.One,trips.MarketSegmentCode = 1,1.993,Zero-vehicle households
other_auto,trips.One,trips.MarketSegmentCode = 2,1.993,Vehicle insufficient households
other_auto,sov_skim.CongTime,,-0.0833,Travel time
other_auto,sov_skim.[TollCostSOV (Skim)],,-0.304793,Toll
auto_pay,trips.One,,-1.032,Constant
auto_pay,hov_skim.CongTime,,-0.0425,Travel time
auto_pay,se.PKTNCWait.O,,-0.0425,Auto wait time
auto_pay,hov_skim.auto_pay_fare,,-0.155507,Auto fare
auto_pay,trips.One,trips.MarketSegmentCode = 1,0.292885,Additional Calibration Constant
other_auto,trips.One,trips.MarketSegmentCode = 1,0.50935,Additional Calibration Constant
sov,trips.One,trips.MarketSegmentCode = 2,0.525986,Additional Calibration Constant
hov2,trips.One,trips.MarketSegmentCode = 2,0.714367,Additional Calibration Constant
hov3,trips.One,trips.MarketSegmentCode = 2,1.14128,Additional Calibration Constant
auto_pay,trips.One,trips.MarketSegmentCode = 2,-0.189182,Additional Calibration Constant
other_auto,trips.One,trips.MarketSegmentCode = 2,0.37338,Additional Calibration Constant
sov,trips.One,trips.MarketSegmentCode = 3,-0.892876,Additional Calibration Constant
hov2,trips.One,trips.MarketSegmentCode = 3,-0.92358,Additional Calibration Constant
hov3,trips.One,trips.MarketSegmentCode = 3,-1.01216,Additional Calibration Constant
auto_pay,trips.One,trips.MarketSegmentCode = 3,0.62,Additional Calibration Constant
other_auto,trips.One,trips.MarketSegmentCode = 3,-0.7715,Additional Calibration Constant
w_lb,trips.One,,-0.1718,Constant
w_lb,trips.One,trips.MarketSegmentCode = 1,4.4532,Vehicle insufficient households
w_lb,trips.One,trips.MarketSegmentCode = 2,4.104,Vehicle insufficient households
w_lb,w_lb_skim.[In-Vehicle Time],,-0.022449,IVTT
w_lb,w_lb_skim.Fare,,-0.1132,Transit fare
w_lb,w_lb_skim.[Access Walk Time],,-0.1138,Access walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.0437,Initial wait time
w_lb,w_lb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
w_lb,w_lb_skim.[Egress Walk Time],,-0.051437,Egress walk time
w_lb,w_lb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
w_eb,trips.One,,0.6469,Constant
w_eb,trips.One,trips.MarketSegmentCode = 1,4.4532,Zero-vehicle households
w_eb,trips.One,trips.MarketSegmentCode = 2,4.104,Zero-vehicle households
w_eb,w_eb_skim.[In-Vehicle Time],,-0.022449,IVTT
w_eb,w_eb_skim.Fare,,-0.1132,Transit fare
w_eb,w_eb_skim.[Access Walk Time],,-0.1138,Access walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.0437,Initial wait time
w_eb,w_eb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
w_eb,w_eb_skim.[Egress Walk Time],,-0.051437,Egress walk time
w_eb,w_eb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
