Alternative,Expression,Segment,Coefficient,Description
auto,parking.MC_LS_NonWork.D,,0.1204,Parking
auto,se.HiIncomePct.O,,1.6693,High income
sov,Constant,,-2.102,Constant
sov,sov_skim.CongTime,,-0.03,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.15,Toll cost
hov2,Constant,,-2.296,Constant
hov2,hov_skim.CongTime,,-0.03,Travel time
hov2,hov_skim.[TollCostSOV (Skim)],,-0.15,Toll cost
hov2,se.HHSize1Pct.O,,-2.98,Percent of 1-person HHs
hov2,Constant,vi,0.7117,Vehicle insufficient households
hov2,Constant,v0,0.7117,Zero-vehicle households
hov3,Constant,,-2.66,Constant
hov3,hov_skim.CongTime,,-0.03,Travel time
hov3,hov_skim.[TollCostSOV (Skim)],,-0.15,Toll cost
hov3,se.HHSize1Pct.O,,-2.98,Percent of 1-person HHs
hov3,Constant,vi,0.7117,Vehicle insufficient households
hov3,Constant,v0,0.7117,Zero-vehicle households
nonhh_auto,Constant,vi,3.177,Vehicle insufficient households
nonhh_auto,Constant,v0,3.177,Zero-vehicle households
other_auto,Constant,,-3.839,Constant
other_auto,parking.MC_LS_Work.D,,0.067,Parking
other_auto,sov_skim.CongTime,,-0.0247,Travel time
auto_pay,Constant,,-3.094,Constant
auto_pay,hov_skim.CongTime,,-0.0247,Travel time
auto_pay,se.PKTNCWait.O,,-0.0247,Auto wait time
auto_pay,hov_skim.auto_pay_fare,,-0.00675,Auto fare
auto_pay,se.Enplanements.O > 0 or se.Enplanements.D > 0,,3.93,Airport related
transit,Constant,vi,3.177,Vehicle insufficient households
transit,Constant,v0,3.177,Zero-vehicle households
w_lb,w_lb_skim.IVTT + w_lb_skim.Fare/0.1983,,-0.046,IVTT and Fare (converted by VOT)
w_lb,w_lb_skim.[Access Walk Time],,-0.1138,Access walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.123,Initial wait time
w_lb,w_lb_skim.[Egress Walk Time],,-0.1972,Egress walk time
w_lb,w_lb_skim.[Number of Transfers] > 1,,-1.4619,High transfers
w_eb,Constant,,-0.296,Constant
w_eb,w_eb_skim.IVTT + w_eb_skim.Fare/0.1983,,-0.046,IVTT and Fare (converted by VOT)
w_eb,w_eb_skim.[Access Walk Time],,-0.1138,Access walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.123,Initial wait time
w_eb,w_eb_skim.[Egress Walk Time],,-0.1972,Egress walk time
w_eb,w_eb_skim.[Number of Transfers] > 1,,-1.4619,High transfers
