Alternative,Expression,Segment,Coefficient,Description
sov,Constant,,3.232,Constant
sov,Constant,v0,-99,Auto Availability
sov,Constant,ilvi,-1.817,Vehicle insufficient households
sov,Constant,ihvi,-1.817,Vehicle insufficient households
sov,Constant,ihvi,0.6589,High income households
sov,Constant,ihvs,0.6589,High income households
sov,sov_skim.CongTime,,-0.1164,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.425906,Toll cost
sov,parking.MC_LS_Work.D,,0.5791,Parking
hov2,Constant,,0.9651,Constant
hov2,Constant,v0,-99,Auto Availability
hov2,Constant,ilvi,-0.7876,Vehicle insufficient households
hov2,Constant,ihvi,-0.7876,Vehicle insufficient households
hov2,Constant,ihvi,0.6589,High income households
hov2,Constant,ihvs,0.6589,High income households
hov2,hov_skim.CongTime,,-0.1164,Travel time
hov2,hov_skim.[TollCostHOV (Skim)],,-0.425906,Toll cost
hov2,parking.MC_LS_Work.D,,0.5791,Parking
hov3,Constant,,0.197,Constant
hov3,Constant,v0,-99,Auto Availability
hov3,Constant,ilvi,-0.7876,Vehicle insufficient households
hov3,Constant,ihvi,-0.7876,Vehicle insufficient households
hov3,Constant,ihvi,0.6589,High income households
hov3,Constant,ihvs,0.6589,High income households
hov3,hov_skim.CongTime,,-0.1164,Travel time
hov3,hov_skim.[TollCostHOV (Skim)],,-0.425906,Toll cost
hov3,parking.MC_LS_Work.D,,0.5791,Parking
other_auto,Constant,,-6.619,Constant
other_auto,Constant,v0,0.2776,Zero-vehicle households
other_auto,Constant,ilvi,0.2776,Vehicle insufficient households
other_auto,Constant,ihvi,0.2776,Vehicle insufficient households
other_auto,sov_skim.CongTime,,-0.1155,Travel time
other_auto,sov_skim.[TollCostSOV (Skim)],,-0.422613,Toll cost
other_auto,parking.MC_LS_Work.D,,1.132,Parking
auto_pay,Constant,,3.758,Constant
auto_pay,Constant,v0,1.575,Zero-vehicle households
auto_pay,Constant,ilvi,1.575,Vehicle insufficient households
auto_pay,Constant,ihvi,1.575,Vehicle insufficient households
auto_pay,hov_skim.CongTime,,-0.04787,Travel time
auto_pay,se.PKTNCWait.O,,-0.04787,Auto wait time
auto_pay,hov_skim.auto_pay_fare,,-0.175156,Auto fare
w_lb,Constant,,7.104,Constant
w_lb,Constant,v0,0.3492,Zero-vehicle households
w_lb,w_lb_skim.[In-Vehicle Time],,-0.022449,IVTT
w_lb,w_lb_skim.Fare,,-0.1132,Transit fare
w_lb,w_lb_skim.[Access Walk Time],,-0.1138,Access walk time
