Expression,Segment,Coefficient,Description
se.nhb_n_auto_size.D,,0.6895,Size term
skim.CongTime,,-0.2638,
(skim.CongTime > 30)*(skim.CongTime - 30),,0.2347,Time excess of 30 min
IntraCluster.IC,,0.1102,Intra Cluster Dummy
IntraCluster.IZ,,0.8198,Intra Zonal Dummy
Parking.MC_LS_NonWork.D,,0.1587,Parking Mode Logsum
se.Cluster.D = 1,,-0.8252,RTP Cluster ASC
se.Cluster.D = 2,,-0.2554,Raleigh Cluster ASC
se.Cluster.D = 3,,-0.2342,Cary Cluster ASC
se.Cluster.D = 5,,-0.4878,Durham Cluster ASC
se.Cluster.D = 7,,-0.1843,Southern Durham Cluster ASC
se.Cluster.D = 81,,0.1626,Other NW Cluster ASC
se.Cluster.D = 82,,0.3009,Other NE Cluster ASC
se.Cluster.D = 83,,0.2371,Other SE Cluster ASC
se.Cluster.D = 84,,0.1266,Other S Cluster ASC
se.Cluster.D = 85,,1,Other SW Cluster ASC
