term,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_hov2,N_HB_K12_All_hov2,0.0397,0.002727742,14.55415872,0
N_HB_K12_All_hov3,N_HB_K12_All_hov3,0.01896,0.002414147,7.854790934,0
N_HB_OD_Long_hov2,N_HB_OD_Long_hov,0.00561,0.001497996,3.74390073,1.80E-04
N_HB_OD_Long_hov3,N_HB_OD_Long_hov,0.00561,0.001497996,3.74390073,1.80E-04
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.00591,0.002708019,2.182380316,0.0291
N_HB_OD_Short_hov3,N_HB_OD_Short_hov3,0.01939,0.002765888,7.009108747,0
N_HB_K12_All_school_bus,N_HB_K12_All_school_bus,0.00434,0.002393368,1.8116669,0.07006
alpha,NA,0.16737,0.170776526,-13.64413012,0
gamma,NA,0.8587,0.080938968,10.60921557,0
r_sq,NA,0.12734,NA,NA,NA
