term,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_hov2,N_HB_K12_All_auto,0.00687,9.59E-04,7.167792307,0
N_HB_K12_All_hov3,N_HB_K12_All_auto,0.00687,9.59E-04,7.167792307,0
N_HB_K12_All_sov,N_HB_K12_All_auto,0.00687,9.59E-04,7.167792307,0
N_HB_K12_All_school_bus,N_HB_K12_All_school_bus,0.00616,0.001730627,3.560215568,3.70E-04
N_HB_K12_All_walkbike,N_HB_K12_All_walkbike,0.02435,0.005415265,4.496897871,1.00E-05
N_HB_OD_Short_hov2,N_HB_OD_Short_hov,0.00364,0.00134271,2.711975025,0.0067
N_HB_OD_Short_hov3,N_HB_OD_Short_hov,0.00364,0.00134271,2.711975025,0.0067
N_HB_OD_Short_walkbike,N_HB_OD_Short_walkbike,0.00174,0.001100548,1.584515162,0.1131
alpha,NA,1.07226,0.006569509,-40.48872284,0
gamma,NA,0.09158,0.008712386,10.51121653,0
r_sq,NA,0.08256,NA,NA,NA
