term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov3,N_HB_OD_Long_hov3,0.16973,0.010081851,16.83550807,0
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.04687,0.012463133,3.760873203,1.70E-04
N_HB_OD_Short_hov3,N_HB_OD_Short_hov3,0.145,0.01273665,11.38483456,0
N_HB_OME_All_hov2,N_HB_OME_All_hov2,0.01204,0.006109076,1.971026158,0.04874
N_HB_OME_All_hov3,N_HB_OME_All_hov3,0.5084,0.00830042,61.24961138,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.01279,0.0061719,2.072672355,0.03822
N_HB_OMED_All_hov3,N_HB_OMED_All_hov3,0.23605,0.032400108,7.285578982,0
alpha,NA,0.04782,0.291818231,-14.04867197,0
gamma,NA,1.44596,0.138176745,10.46455065,0
r_sq,NA,0.3861,NA,NA,NA
