term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov2,N_HB_OD_All_hov,0.01971,0.007874398,2.503210021,0.01232
N_HB_OD_Long_hov3,N_HB_OD_All_hov,0.01971,0.007874398,2.503210021,0.01232
N_HB_OD_Short_hov2,N_HB_OD_All_hov,0.01971,0.007874398,2.503210021,0.01232
N_HB_OD_Short_hov3,N_HB_OD_All_hov,0.01971,0.007874398,2.503210021,0.01232
N_HB_OD_Long_sov,N_HB_OD_Long_sov,0.09917,0.009917336,9.999508528,0
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.09714,0.014532888,6.684166885,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.5816,0.009192791,63.26649537,0
N_HB_OMED_All_sov,N_HB_OMED_All_sov,0.23531,0.029681736,7.927772825,0
alpha,NA,0.0818,0.354537946,-10.91199672,0
gamma,NA,1.18392,0.167717035,7.059047203,0
r_sq,NA,0.51146,NA,NA,NA
