term,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_lb,N_HB_K12_All_lb,0.08702,0.050274156,1.730848886,0.0835
N_HB_OD_Long_lb,N_HB_OD_All_lb,0.08138,0.022700947,3.584938527,3.40E-04
N_HB_OD_Short_lb,N_HB_OD_All_lb,0.08138,0.022700947,3.584938527,3.40E-04
N_HB_OD_Long_walkbike,N_HB_OD_Long_walkbike,0.04218,0.007835232,5.382991702,0
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.01436,0.005571179,2.578121235,0.00995
N_HB_OD_Short_walkbike,N_HB_OD_Short_walkbike,0.0136,0.004012419,3.389382273,7.00E-04
N_HB_OD_Long_auto_pay,N_HB_O_All_auto_pay,0.44916,0.019936517,22.52943546,0
N_HB_OD_Short_auto_pay,N_HB_O_All_auto_pay,0.44916,0.019936517,22.52943546,0
N_HB_OME_All_auto_pay,N_HB_O_All_auto_pay,0.44916,0.019936517,22.52943546,0
N_HB_OMED_All_auto_pay,N_HB_O_All_auto_pay,0.44916,0.019936517,22.52943546,0
N_HB_OME_All_hov2,N_HB_OME_All_hov,0.00879,0.002785956,3.155280388,0.00161
N_HB_OME_All_hov3,N_HB_OME_All_hov,0.00879,0.002785956,3.155280388,0.00161
N_HB_OME_All_sov,N_HB_OME_All_sov,0.02547,0.003543172,7.189428905,0
N_HB_OME_All_lb,N_HB_OME_All_lb,0.06248,0.028535654,2.189437799,0.02858
N_HB_OME_All_walkbike,N_HB_OME_All_walkbike,0.19912,0.008983225,22.16544586,0
N_HB_OMED_All_walkbike,N_HB_OME_All_walkbike,0.19912,0.008983225,22.16544586,0
N_HB_OMED_All_hov2,N_HB_OMED_All_hov,0.02147,0.010365474,2.070850353,0.03839
N_HB_OMED_All_hov3,N_HB_OMED_All_hov,0.02147,0.010365474,2.070850353,0.03839
alpha,NA,1.00557,0.013835122,-80.07870461,0
gamma,NA,0.0171,0.018364612,0.93097576,0.35188
r_sq,NA,0.29384,NA,NA,NA
