term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov2,N_HB_OD_All_hov,0.02421,0.003863154,6.266552127,0
N_HB_OD_Long_hov3,N_HB_OD_All_hov,0.02421,0.003863154,6.266552127,0
N_HB_OD_Short_hov2,N_HB_OD_All_hov,0.02421,0.003863154,6.266552127,0
N_HB_OD_Short_hov3,N_HB_OD_All_hov,0.02421,0.003863154,6.266552127,0
N_HB_OD_Long_sov,N_HB_OD_All_sov,0.10367,0.004022069,25.77537393,0
N_HB_OD_Short_sov,N_HB_OD_All_sov,0.10367,0.004022069,25.77537393,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.02921,0.004263154,6.851993293,0
N_HB_OMED_All_sov,N_HB_OME_All_sov,0.02921,0.004263154,6.851993293,0
alpha,NA,0.12962,0.294362545,-11.82483929,0
gamma,NA,0.97138,0.139472713,6.964690132,0
r_sq,NA,0.38821,NA,NA,NA
