term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.02259,0.008140403,2.77563488,0.00552
N_HB_OD_Short_hov3,N_HB_OD_Short_hov3,0.06982,0.008247836,8.465271589,0
N_HB_OD_Short_sov,N_HB_OD_OME_sov,0.02796,0.003339416,8.373570516,0
N_HB_OME_All_sov,N_HB_OD_OME_sov,0.02796,0.003339416,8.373570516,0
N_HB_OD_Short_walkbike,N_HB_OD_Short_walkbike,0.0248,0.004531151,5.473591992,0
N_HB_OME_All_walkbike,N_HB_OME_All_walkbike,0.10973,0.010177457,10.78160667,0
N_HB_OD_Long_walkbike,N_HB_OD_Long_walkbike,0.04131,0.008852657,4.665854801,0
alpha,NA,1.03093,0.015298539,-71.05756479,0
gamma,NA,0.05494,0.020295371,2.707078593,0.0068
r_sq,NA,0.2966,NA,NA,NA
