type,factor
N_auto_pay_AM,0.802
N_hov2_AM,0.853
N_hov3_AM,0.865
N_sov_AM,1.389
N_t_AM,1.002
N_walkbike_AM,1.802
N_auto_pay_MD,5.998
N_hov2_MD,1.479
N_hov3_MD,1.411
N_sov_MD,1.686
N_t_MD,2.573
N_walkbike_MD,2.594
N_auto_pay_NT,0.762
N_hov2_NT,0.62
N_hov3_NT,1.046
N_sov_NT,0.454
N_t_NT,0.190
N_walkbike_NT,1.567
N_auto_pay_PM,6.331
N_hov2_PM,0.945
N_hov3_PM,1.544
N_sov_PM,0.735
N_t_PM,0.830
N_walkbike_PM,2.059
W_auto_pay_AM,0.568
W_hov2_AM,0.857
W_hov3_AM,0.688
W_sov_AM,0.87
W_t_AM,2.545
W_walkbike_AM,0.868
W_auto_pay_MD,3.469
W_hov2_MD,3.367
W_hov3_MD,2.502
W_sov_MD,3.564
W_t_MD,3.110
W_walkbike_MD,6.441
W_auto_pay_NT,0.818
W_hov2_NT,0.455
W_hov3_NT,0.429
W_sov_NT,0.376
W_t_NT,0.495
W_walkbike_NT,0.469
W_auto_pay_PM,2.775
W_hov2_PM,1.015
W_hov3_PM,1.424
W_sov_PM,1.33
W_t_PM,1.360
W_walkbike_PM,0.748
