trip_type,tod,pa_fac
N_HB_K12_All,AM,0.8679429726517056
N_HB_K12_All,MD,0.2560963734052302
N_HB_K12_All,PM,0.19006895911145505
N_HB_K12_All,NT,0.8139969734538841
N_HB_OD_Long,AM,0.842579904768488
N_HB_OD_Long,MD,0.5620554727908423
N_HB_OD_Long,PM,0.49833056723329605
N_HB_OD_Long,NT,0.3699238807057316
N_HB_OD_Short,AM,0.6492347849663067
N_HB_OD_Short,MD,0.5486245073918471
N_HB_OD_Short,PM,0.45300731976153563
N_HB_OD_Short,NT,0.44847589654473424
N_HB_OME_All,AM,0.681127507364529
N_HB_OME_All,MD,0.4669295256541704
N_HB_OME_All,PM,0.4503328138778361
N_HB_OME_All,NT,0.3231616880594509
N_HB_OMED_All,AM,0.9139447697080656
N_HB_OMED_All,MD,0.6013451821187071
N_HB_OMED_All,PM,0.32498852882397755
N_HB_OMED_All,NT,0.4209188279020048
W_HB_EK12_All,AM,0.9843770251365579
W_HB_EK12_All,MD,0.30978702521587975
W_HB_EK12_All,PM,0.004246387128185591
W_HB_EK12_All,NT,0.8361625825872685
W_HB_O_All,AM,0.9969099965671543
W_HB_O_All,MD,0.46657778982051235
W_HB_O_All,PM,0.016914299741352473
W_HB_O_All,NT,0.20483086136461387
W_HB_W_All,AM,0.996073972295845
W_HB_W_All,MD,0.6227906258910493
W_HB_W_All,PM,0.06646751668078169
W_HB_W_All,NT,0.6376292561712676
