trip_type,hov2,hov3,sov
N_HB_K12_All,0.3337993911742249,0.6315101191336767,0.03469048969209841
N_HB_OD_Long,0.4518223585720208,0.4013607588990537,0.1468168825289255
N_HB_OD_Short,0.25874172736960516,0.536857318005436,0.2044009546249588
N_HB_OME_All,0.5968209005752098,0.2782270922355712,0.12495200718921914
N_HB_OMED_All,0.7601422042339119,0.17446908257375196,0.06538871319233625
N_NH_K12_All,0.38408723995771493,0.593786483170561,0.022126276871724086
N_NH_O_All,0.2593494245314496,0.5743529244669534,0.16629765100159694
N_NH_OME_All,0.29748365075072336,0.6093287531615615,0.0931875960877151
W_HB_EK12_All,1,0,0
W_HB_O_All,0.2791853971390368,0.19313261847796698,0.5276819843829963
W_HB_W_All,0.2799257495859344,0.2455556694086407,0.4745185810054248
W_NH_EK12_All,1,0,0
W_NH_O_All,0.3587204938108612,0.3071742940327908,0.3341052121563479
W_NH_WR_All,0.24377364893280126,0.1351258485877058,0.621100502479493
