trip_type,tod,factor,Description
N_HB_K12_All,AM,0.395,Used to split daily resident productions
N_HB_K12_All,MD,0.251,into period-specific values
N_HB_K12_All,NT,0.139,
N_HB_K12_All,PM,0.215,
N_HB_OD_Long,AM,0.105,
N_HB_OD_Long,MD,0.302,
N_HB_OD_Long,NT,0.346,
N_HB_OD_Long,PM,0.247,
N_HB_OD_Short,AM,0.151,
N_HB_OD_Short,MD,0.302,
N_HB_OD_Short,NT,0.268,
N_HB_OD_Short,PM,0.279,
N_HB_OME_All,AM,0.038,
N_HB_OME_All,MD,0.473,
N_HB_OME_All,NT,0.26,
N_HB_OME_All,PM,0.229,
N_HB_OMED_All,AM,0.154,
N_HB_OMED_All,MD,0.608,
N_HB_OMED_All,NT,0.06500000000000006,
N_HB_OMED_All,PM,0.173,
W_HB_EK12_All,AM,0.531,
W_HB_EK12_All,MD,0.062,
W_HB_EK12_All,NT,0.14300000000000002,
W_HB_EK12_All,PM,0.264,
W_HB_O_All,AM,0.154,
W_HB_O_All,MD,0.151,
W_HB_O_All,NT,0.395,
W_HB_O_All,PM,0.3,
W_HB_W_All,AM,0.288,
W_HB_W_All,MD,0.193,
W_HB_W_All,NT,0.2370000000000001,
W_HB_W_All,PM,0.282,
