HHSize,Senior,Children,Threshold
1,0,0,13300
1,1,0,12261
2,0,0,17120
2,0,1,17622
2,1,0,15453
2,1,1,17555
3,0,0,19998
3,0,1,20578
3,0,2,20598
4,0,0,26370
4,0,1,26801
4,0,2,25926
4,0,3,26017
5,0,0,31800
5,0,1,32263
5,0,2,31275
5,0,3,30510
5,0,4,30044
6,0,0,36576
6,0,1,36721
6,0,2,35965
6,0,3,35239
6,0,4,34161
6,0,5,33522
7,0,0,42085
7,0,1,42348
7,0,2,41442
7,0,3,40811
7,0,4,39635
7,0,5,38262
7,0,6,36757
8,0,0,47069
8,0,1,47485
8,0,2,46630
8,0,3,45881
8,0,4,44818
8,0,5,43470
8,0,6,42066
8,0,7,41709
9,0,0,56621
9,0,1,56895
9,0,2,56139
9,0,3,55503
9,0,4,54460
9,0,5,53025
9,0,6,51727
9,0,7,51406
9,0,8,49426
