purpose,p_field,a_field,constraint,imp_core,a,b,c
UHC_NCSU_AM,ProdOn_UHC_NCSU_AM,AttrOn_UHC_NCSU_AM,Production,Length (Skim),5,1,0.1
UHC_NCSU_MD,ProdOn_UHC_NCSU_MD,AttrOn_UHC_NCSU_MD,Production,Length (Skim),5,1,0.1
UHC_NCSU_PM,ProdOn_UHC_NCSU_PM,AttrOn_UHC_NCSU_PM,Production,Length (Skim),5,1,0.1
UHC_NCSU_NT,ProdOn_UHC_NCSU_NT,AttrOn_UHC_NCSU_NT,Production,Length (Skim),5,1,0.1
UHO_NCSU_AM,ProdOn_UHO_NCSU_AM,AttrOn_UHO_NCSU_AM,Production,Length (Skim),5,1,0.1
UHO_NCSU_MD,ProdOn_UHO_NCSU_MD,AttrOn_UHO_NCSU_MD,Production,Length (Skim),5,1,0.1
UHO_NCSU_PM,ProdOn_UHO_NCSU_PM,AttrOn_UHO_NCSU_PM,Production,Length (Skim),5,1,0.1
UHO_NCSU_NT,ProdOn_UHO_NCSU_NT,AttrOn_UHO_NCSU_NT,Production,Length (Skim),5,1,0.1
UCO_NCSU_AM,ProdOn_UCO_NCSU_AM,AttrOn_UCO_NCSU_AM,Production,Length (Skim),5,1,0.1
UCO_NCSU_MD,ProdOn_UCO_NCSU_MD,AttrOn_UCO_NCSU_MD,Production,Length (Skim),5,1,0.1
UCO_NCSU_PM,ProdOn_UCO_NCSU_PM,AttrOn_UCO_NCSU_PM,Production,Length (Skim),5,1,0.1
UCO_NCSU_NT,ProdOn_UCO_NCSU_NT,AttrOn_UCO_NCSU_NT,Production,Length (Skim),5,1,0.1
UCC_NCSU_AM,ProdOn_UCC_NCSU_AM,AttrOn_UCC_NCSU_AM,Production,Length (Skim),5,1,0.1
UCC_NCSU_MD,ProdOn_UCC_NCSU_MD,AttrOn_UCC_NCSU_MD,Production,Length (Skim),5,1,0.1
UCC_NCSU_PM,ProdOn_UCC_NCSU_PM,AttrOn_UCC_NCSU_PM,Production,Length (Skim),5,1,0.1
UCC_NCSU_NT,ProdOn_UCC_NCSU_NT,AttrOn_UCC_NCSU_NT,Production,Length (Skim),5,1,0.1
UHC_UNC_AM,ProdOn_UHC_UNC_AM,AttrOn_UHC_UNC_AM,Production,Length (Skim),5,1,0.1
UHC_UNC_MD,ProdOn_UHC_UNC_MD,AttrOn_UHC_UNC_MD,Production,Length (Skim),5,1,0.1
UHC_UNC_PM,ProdOn_UHC_UNC_PM,AttrOn_UHC_UNC_PM,Production,Length (Skim),5,1,0.1
UHC_UNC_NT,ProdOn_UHC_UNC_NT,AttrOn_UHC_UNC_NT,Production,Length (Skim),5,1,0.1
UHO_UNC_AM,ProdOn_UHO_UNC_AM,AttrOn_UHO_UNC_AM,Production,Length (Skim),5,1,0.1
UHO_UNC_MD,ProdOn_UHO_UNC_MD,AttrOn_UHO_UNC_MD,Production,Length (Skim),5,1,0.1
UHO_UNC_PM,ProdOn_UHO_UNC_PM,AttrOn_UHO_UNC_PM,Production,Length (Skim),5,1,0.1
UHO_UNC_NT,ProdOn_UHO_UNC_NT,AttrOn_UHO_UNC_NT,Production,Length (Skim),5,1,0.1
UCO_UNC_AM,ProdOn_UCO_UNC_AM,AttrOn_UCO_UNC_AM,Production,Length (Skim),5,1,0.1
UCO_UNC_MD,ProdOn_UCO_UNC_MD,AttrOn_UCO_UNC_MD,Production,Length (Skim),5,1,0.1
UCO_UNC_PM,ProdOn_UCO_UNC_PM,AttrOn_UCO_UNC_PM,Production,Length (Skim),5,1,0.1
UCO_UNC_NT,ProdOn_UCO_UNC_NT,AttrOn_UCO_UNC_NT,Production,Length (Skim),5,1,0.1
UCC_UNC_AM,ProdOn_UCC_UNC_AM,AttrOn_UCC_UNC_AM,Production,Length (Skim),5,1,0.1
