to_field,from_field,factor
ProdOn_UHC_NCSU_AM,ProdOn_UHC_NCSU,0.288
ProdOn_UHC_NCSU_MD,ProdOn_UHC_NCSU,0.193
ProdOn_UHC_NCSU_PM,ProdOn_UHC_NCSU,0.282
ProdOn_UHC_NCSU_NT,ProdOn_UHC_NCSU,0.237
ProdOff_UHC_NCSU_AM,ProdOff_UHC_NCSU,0.288
ProdOff_UHC_NCSU_MD,ProdOff_UHC_NCSU,0.193
ProdOff_UHC_NCSU_PM,ProdOff_UHC_NCSU,0.282
ProdOff_UHC_NCSU_NT,ProdOff_UHC_NCSU,0.237
ProdOn_UHO_NCSU_AM,ProdOn_UHO_NCSU,0.288
ProdOn_UHO_NCSU_MD,ProdOn_UHO_NCSU,0.193
ProdOn_UHO_NCSU_PM,ProdOn_UHO_NCSU,0.282
ProdOn_UHO_NCSU_NT,ProdOn_UHO_NCSU,0.237
ProdOff_UHO_NCSU_AM,ProdOff_UHO_NCSU,0.288
ProdOff_UHO_NCSU_MD,ProdOff_UHO_NCSU,0.193
ProdOff_UHO_NCSU_PM,ProdOff_UHO_NCSU,0.282
ProdOff_UHO_NCSU_NT,ProdOff_UHO_NCSU,0.237
Prod_UCO_NCSU_AM,Prod_UCO_NCSU,0.288
Prod_UCO_NCSU_MD,Prod_UCO_NCSU,0.193
Prod_UCO_NCSU_PM,Prod_UCO_NCSU,0.282
Prod_UCO_NCSU_NT,Prod_UCO_NCSU,0.237
Prod_UCC_NCSU_AM,Prod_UCC_NCSU,0.288
Prod_UCC_NCSU_MD,Prod_UCC_NCSU,0.193
Prod_UCC_NCSU_PM,Prod_UCC_NCSU,0.282
Prod_UCC_NCSU_NT,Prod_UCC_NCSU,0.237
Prod_UC1_NCSU_AM,Prod_UC1_NCSU,0.288
Prod_UC1_NCSU_MD,Prod_UC1_NCSU,0.193
Prod_UC1_NCSU_PM,Prod_UC1_NCSU,0.282
Prod_UC1_NCSU_NT,Prod_UC1_NCSU,0.237
AttrOn_UHC_NCSU_AM,AttrOn_UHC_NCSU,0.288
AttrOn_UHC_NCSU_MD,AttrOn_UHC_NCSU,0.193
AttrOn_UHC_NCSU_PM,AttrOn_UHC_NCSU,0.282
AttrOn_UHC_NCSU_NT,AttrOn_UHC_NCSU,0.237
