sourcetypeID,year,styFactor
11,2020,0.029854971
21,2020,0.406233059
31,2020,0.47384282
32,2020,0.048479771
41,2020,0.001155693
42,2020,0.000373924
43,2020,0.001528686
51,2020,0.000178727
52,2020,0.026168069
53,2020,0.001179975
54,2020,0.003453037
61,2020,0.004864902
62,2020,0.002686365
11,2025,0.03427345
21,2025,0.3494465
31,2025,0.51643685
32,2025,0.05283759
41,2025,0.00122832
42,2025,0.00038875
43,2025,0.00160898
51,2025,0.00020623
52,2025,0.03019423
53,2025,0.00136152
54,2025,0.00398429
61,2025,0.00517544
62,2025,0.00285784
11,2030,0.033830564
21,2030,0.301540383
31,2030,0.556449309
32,2030,0.056931292
41,2030,0.001324593
42,2030,0.000419224
43,2030,0.001735089
51,2030,0.000227482
52,2030,0.033306189
53,2030,0.001501843
54,2030,0.004394941
61,2030,0.005372458
62,2030,0.002966633
11,2035,0.033467166
21,2035,0.262005743
31,2035,0.58952134
32,2035,0.060314951
41,2035,0.001397544
42,2035,0.000442312
43,2035,0.001830649
51,2035,0.000245658
52,2035,0.035967603
53,2035,0.001621855
54,2035,0.004746117
61,2035,0.005436866
62,2035,0.003002198
11,2040,0.033216684
21,2040,0.237236463
31,2040,0.609649423
32,2040,0.062374372
41,2040,0.001454371
42,2040,0.000460297
43,2040,0.0019051
51,2040,0.000261191
52,2040,0.038241781
53,2040,0.001724396
54,2040,0.005046214
61,2040,0.005430838
62,2040,0.002998869
11,2045,0.033045094
21,2045,0.222841925
31,2045,0.620669345
32,2045,0.06350183
41,2045,0.001498721
42,2045,0.000474334
43,2045,0.001963186
51,2045,0.000275213
52,2045,0.040294868
53,2045,0.001816979
54,2045,0.005317133
61,2045,0.005348157
62,2045,0.002953215
11,2050,0.032914808
21,2050,0.212865415
31,2050,0.628009086
32,2050,0.064252799
41,2050,0.001531288
42,2050,0.000484639
43,2050,0.00200584
51,2050,0.000287698
52,2050,0.042122614
53,2050,0.001899399
54,2050,0.005558316
61,2050,0.00519787
62,2050,0.002870228
11,2055,0.032795439
21,2055,0.204084645
31,2055,0.634624408
32,2055,0.064929651
41,2055,0.001551237
42,2055,0.000490953
43,2055,0.002031975
51,2055,0.000298553
52,2055,0.04371224
53,2055,0.001971075
54,2055,0.005768079
61,2055,0.004987618
62,2055,0.002754126
