sourcetype,year,styFactor,, sourceTypePopulation_Alamance ,styFactor-Alamance, sourceTypePopulation_Chatham ,styFactor-Chatham, sourceTypePopulation_Durham ,styFactor-Durham, sourceTypePopulation_Franklin ,styFactor-Franklin, sourceTypePopulation_Granville ,styFactor-Granville, sourceTypePopulation_Harnett ,styFactor-Harnett, sourceTypePopulation_Johnston ,styFactor-Johnston, sourceTypePopulation_Nash ,styFactor-Nash, sourceTypePopulation_Orange ,styFactor-Orange, sourceTypePopulation_Person ,styFactor-Person, sourceTypePopulation_Wake ,styFactor-Wake, sourceTypePopulation_TRM Area ,styFactor-TRM Area, sourceTypePopulation_DCHC ,styFactor-DCHC, sourceTypePopulation_CAMPO ,styFactor-CAMPO
11,2020, 0.04512 ,, 564 , 0.02270 ," 1,042 ", 0.02151 ," 2,761 ", 0.01340 ," 1,358 ", 0.02644 , 823 , 0.02540 , 948 , 0.03103 ," 3,910 ", 0.02449 , 75 , 0.02026 ," 1,683 ", 0.01742 , 927 , 0.02855 ," 12,132 ", 0.01497 ," 26,223 ", 0.01752 ," 5,965 ", 0.01752 ," 17,174 ", 0.01752 
21,2020, 0.49339 ,," 18,287 ", 0.73658 ," 35,179 ", 0.72590 ," 172,733 ", 0.83822 ," 34,561 ", 0.67308 ," 22,118 ", 0.68236 ," 20,709 ", 0.67800 ," 111,228 ", 0.69656 ," 2,584 ", 0.70190 ," 76,975 ", 0.79679 ," 20,994 ", 0.64622 ," 658,386 ", 0.81219 ," 1,173,754 ", 0.78420 ," 266,998 ", 0.78420 ," 768,733 ", 0.78420 
31,2020, 0.32819 ,," 3,762 ", 0.15152 ," 7,585 ", 0.15652 ," 19,304 ", 0.09367 ," 9,958 ", 0.19393 ," 6,280 ", 0.19376 ," 5,747 ", 0.18816 ," 28,303 ", 0.17725 , 633 , 0.17205 ," 11,422 ", 0.11823 ," 6,772 ", 0.20845 ," 83,502 ", 0.10301 ," 183,269 ", 0.12244 ," 41,689 ", 0.12244 ," 120,029 ", 0.12244 
32,2020, 0.08342 ,," 1,493 ", 0.06013 ," 3,097 ", 0.06390 ," 7,669 ", 0.03721 ," 3,867 ", 0.07530 ," 2,344 ", 0.07231 ," 2,223 ", 0.07278 ," 11,275 ", 0.07061 , 254 , 0.06887 ," 4,541 ", 0.04701 ," 2,599 ", 0.08000 ," 35,943 ", 0.04434 ," 75,304 ", 0.05031 ," 17,130 ", 0.05031 ," 49,319 ", 0.05031 
41,2020, 0.00001 ,, 71 , 0.00286 , 154 , 0.00318 , 337 , 0.00164 , 155 , 0.00301 , 82 , 0.00252 , 89 , 0.00292 , 474 , 0.00297 , 13 , 0.00364 , 184 , 0.00190 , 120 , 0.00368 ," 1,921 ", 0.00237 ," 3,600 ", 0.00241 , 819 , 0.00241 ," 2,358 ", 0.00241 
42,2020, 0.00034 ,, 43 , 0.00175 , 94 , 0.00195 , 207 , 0.00100 , 95 , 0.00185 , 50 , 0.00155 , 55 , 0.00179 , 291 , 0.00182 , 8 , 0.00223 , 113 , 0.00117 , 73 , 0.00226 ," 1,177 ", 0.00145 ," 2,206 ", 0.00147 , 502 , 0.00147 ," 1,445 ", 0.00147 
43,2020, 0.00088 ,, 121 , 0.00486 , 261 , 0.00539 , 593 , 0.00288 , 267 , 0.00519 , 141 , 0.00435 , 153 , 0.00500 , 823 , 0.00515 , 23 , 0.00618 , 326 , 0.00337 , 201 , 0.00619 ," 3,394 ", 0.00419 ," 6,301 ", 0.00421 ," 1,433 ", 0.00421 ," 4,127 ", 0.00421 
51,2020, 0.00029 ,, 6 , 0.00025 , 14 , 0.00028 , 30 , 0.00014 , 14 , 0.00027 , 7 , 0.00022 , 8 , 0.00026 , 42 , 0.00026 , 1 , 0.00032 , 16 , 0.00017 , 11 , 0.00033 , 170 , 0.00021 , 318 , 0.00021 , 72 , 0.00021 , 209 , 0.00021 
52,2020, 0.02852 ,, 254 , 0.01024 , 547 , 0.01129 ," 1,321 ", 0.00641 , 574 , 0.01118 , 303 , 0.00936 , 326 , 0.01067 ," 1,789 ", 0.01120 , 48 , 0.01296 , 731 , 0.00757 , 415 , 0.01277 ," 7,600 ", 0.00938 ," 13,908 ", 0.00929 ," 3,164 ", 0.00929 ," 9,109 ", 0.00929 
53,2020, 0.00120 ,, 18 , 0.00071 , 38 , 0.00078 , 88 , 0.00043 , 39 , 0.00076 , 21 , 0.00064 , 22 , 0.00073 , 121 , 0.00076 , 3 , 0.00090 , 49 , 0.00050 , 29 , 0.00089 , 506 , 0.00062 , 933 , 0.00062 , 212 , 0.00062 , 611 , 0.00062 
