sourcetypeID,roadTypeID,day,hour,hourvmtfraction
11,1,2,1,0.0214739
11,1,2,2,0.0144428
11,1,2,3,0.0109684
11,1,2,4,0.00749451
11,1,2,5,0.00683855
11,1,2,6,0.0103588
11,1,2,7,0.0184304
11,1,2,8,0.0268117
11,1,2,9,0.0363852
11,1,2,10,0.0475407
11,1,2,11,0.0574664
11,1,2,12,0.0650786
11,1,2,13,0.0713228
11,1,2,14,0.0714917
11,1,2,15,0.0717226
11,1,2,16,0.0720061
11,1,2,17,0.0711487
11,1,2,18,0.0678874
11,1,2,19,0.0617718
11,1,2,20,0.0516882
11,1,2,21,0.0428658
11,1,2,22,0.0380302
11,1,2,23,0.0322072
11,1,2,24,0.0245677
11,2,2,1,0.0164213
11,2,2,2,0.0111921
11,2,2,3,0.0085415
11,2,2,4,0.00679328
11,2,2,5,0.00721894
11,2,2,6,0.0107619
11,2,2,7,0.01768
11,2,2,8,0.0268751
11,2,2,9,0.0386587
11,2,2,10,0.0522389
11,2,2,11,0.0631739
11,2,2,12,0.0699435
11,2,2,13,0.0729332
11,2,2,14,0.0731218
11,2,2,15,0.0736159
11,2,2,16,0.0744608
11,2,2,17,0.0742165
11,2,2,18,0.0700091
11,2,2,19,0.0614038
11,2,2,20,0.0505043
11,2,2,21,0.0412072
11,2,2,22,0.0336373
11,2,2,23,0.0262243
11,2,2,24,0.0191666
11,3,2,1,0.0164213
11,3,2,2,0.0111921
11,3,2,3,0.0085415
11,3,2,4,0.00679328
11,3,2,5,0.00721894
11,3,2,6,0.0107619
11,3,2,7,0.01768
11,3,2,8,0.0268751
11,3,2,9,0.0386587
11,3,2,10,0.0522389
11,3,2,11,0.0631739
11,3,2,12,0.0699435
11,3,2,13,0.0729332
11,3,2,14,0.0731218
11,3,2,15,0.0736159
11,3,2,16,0.0744608
11,3,2,17,0.0742165
11,3,2,18,0.0700091
11,3,2,19,0.0614038
11,3,2,20,0.0505043
11,3,2,21,0.0412072
11,3,2,22,0.0336373
11,3,2,23,0.0262243
11,3,2,24,0.0191666
