sourcetypeID,month,day
11,1,5
11,1,2
31,1,5
32,1,5
41,1,5
42,1,5
43,1,5
51,1,5
52,1,5
53,1,5
54,1,5
61,1,5
62,1,5
11,2,5
11,2,2
31,2,5
32,2,5
41,2,5
42,2,5
43,2,5
51,2,5
52,2,5
53,2,5
54,2,5
61,2,5
62,2,5
11,3,5
11,3,2
31,3,5
32,3,5
41,3,5
42,3,5
43,3,5
51,3,5
52,3,5
53,3,5
54,3,5
61,3,5
62,3,5
11,4,5
11,4,2
31,4,5
32,4,5
41,4,5
42,4,5
43,4,5
51,4,5
52,4,5
53,4,5
54,4,5
61,4,5
62,4,5
11,5,5
11,5,2
31,5,5
32,5,5
41,5,5
42,5,5
43,5,5
51,5,5
52,5,5
53,5,5
54,5,5
61,5,5
62,5,5
11,6,5
11,6,2
31,6,5
32,6,5
41,6,5
42,6,5
43,6,5
51,6,5
52,6,5
53,6,5
54,6,5
61,6,5
62,6,5
11,7,5
11,7,2
31,7,5
32,7,5
41,7,5
42,7,5
43,7,5
51,7,5
52,7,5
53,7,5
54,7,5
61,7,5
62,7,5
11,8,5
11,8,2
31,8,5
32,8,5
41,8,5
42,8,5
43,8,5
51,8,5
52,8,5
53,8,5
54,8,5
61,8,5
62,8,5
11,9,5
11,9,2
31,9,5
32,9,5
41,9,5
42,9,5
43,9,5
51,9,5
52,9,5
53,9,5
54,9,5
61,9,5
62,9,5
11,10,5
11,10,2
31,10,5
32,10,5
41,10,5
42,10,5
43,10,5
51,10,5
52,10,5
53,10,5
54,10,5
61,10,5
62,10,5
11,11,5
11,11,2
31,11,5
32,11,5
41,11,5
42,11,5
43,11,5
51,11,5
52,11,5
53,11,5
54,11,5
61,11,5
62,11,5
11,12,5
11,12,2
31,12,5
32,12,5
41,12,5
42,12,5
43,12,5
51,12,5
52,12,5
53,12,5
54,12,5
61,12,5
62,12,5
21,1,5
21,1,2
31,1,2
32,1,2
41,1,2
42,1,2
43,1,2
51,1,2
52,1,2
53,1,2
54,1,2
61,1,2
62,1,2
21,2,5
21,2,2
31,2,2
32,2,2
41,2,2
42,2,2
43,2,2
51,2,2
52,2,2
53,2,2
54,2,2
61,2,2
62,2,2
21,3,5
21,3,2
31,3,2
32,3,2
41,3,2
42,3,2
43,3,2
51,3,2
52,3,2
53,3,2
54,3,2
61,3,2
62,3,2
21,4,5
21,4,2
31,4,2
32,4,2
41,4,2
42,4,2
43,4,2
51,4,2
52,4,2
53,4,2
54,4,2
61,4,2
62,4,2
21,5,5
21,5,2
31,5,2
32,5,2
41,5,2
42,5,2
43,5,2
51,5,2
52,5,2
53,5,2
54,5,2
61,5,2
62,5,2
21,6,5
21,6,2
31,6,2
32,6,2
41,6,2
42,6,2
43,6,2
51,6,2
52,6,2
53,6,2
54,6,2
61,6,2
62,6,2
21,7,5
21,7,2
31,7,2
32,7,2
41,7,2
42,7,2
43,7,2
51,7,2
52,7,2
53,7,2
54,7,2
61,7,2
62,7,2
21,8,5
21,8,2
31,8,2
32,8,2
41,8,2
42,8,2
43,8,2
51,8,2
52,8,2
53,8,2
54,8,2
61,8,2
62,8,2
21,9,5
21,9,2
31,9,2
32,9,2
41,9,2
42,9,2
43,9,2
51,9,2
52,9,2
53,9,2
54,9,2
61,9,2
62,9,2
21,10,5
21,10,2
31,10,2
32,10,2
41,10,2
42,10,2
43,10,2
51,10,2
52,10,2
53,10,2
54,10,2
61,10,2
62,10,2
21,11,5
21,11,2
31,11,2
32,11,2
41,11,2
42,11,2
43,11,2
51,11,2
52,11,2
53,11,2
54,11,2
61,11,2
62,11,2
21,12,5
21,12,2
31,12,2
32,12,2
41,12,2
42,12,2
43,12,2
51,12,2
52,12,2
53,12,2
54,12,2
61,12,2
62,12,2
