TAZ,MPO,COUNTY,D_Minority,C_Race,C_Hispanic,ZeroCar,LowIncome,Senior,LEP,AllZones
1,None,Chatham,0,0,0,0,0,0,0,1
2,None,Chatham,0,0,0,0,0,0,0,1
3,None,Chatham,0,0,0,0,0,0,0,1
4,DCHC,Chatham,0,0,0,0,0,0,0,1
5,DCHC,Chatham,0,0,0,1,0,1,0,1
6,DCHC,Chatham,0,0,0,0,0,0,0,1
7,DCHC,Chatham,0,0,0,1,0,1,0,1
8,None,Chatham,0,0,0,0,0,0,0,1
9,DCHC,Chatham,0,0,0,0,0,0,0,1
10,DCHC,Chatham,0,0,0,0,0,0,0,1
11,DCHC,Chatham,0,0,0,0,0,0,0,1
12,DCHC,Chatham,0,0,0,0,0,0,0,1
13,DCHC,Chatham,0,0,0,0,0,1,1,1
14,DCHC,Chatham,0,0,0,0,0,1,1,1
15,DCHC,Chatham,0,0,0,0,0,1,0,1
16,DCHC,Chatham,0,0,0,0,0,0,1,1
17,DCHC,Chatham,0,0,0,0,0,0,1,1
18,DCHC,Chatham,0,0,0,0,0,1,1,1
19,DCHC,Chatham,0,0,0,0,0,0,1,1
20,None,Chatham,0,0,0,0,0,0,0,1
21,None,Chatham,0,0,0,0,0,0,0,1
22,None,Chatham,0,0,0,0,0,0,0,1
23,None,Chatham,0,0,0,0,0,0,0,1
24,None,Chatham,0,0,0,0,0,0,0,1
25,None,Chatham,0,0,0,0,0,0,0,1
26,None,Chatham,0,0,0,0,0,0,0,1
27,None,Chatham,0,0,0,0,0,0,0,1
28,None,Chatham,0,0,0,0,0,0,0,1
29,None,Chatham,0,0,0,0,0,0,0,1
30,None,Chatham,0,0,0,0,0,0,0,1
31,None,Chatham,0,0,0,0,0,0,0,1
32,CAMPO,Chatham,0,0,0,0,0,1,0,1
33,CAMPO,Chatham,0,0,0,0,0,1,0,1
34,CAMPO,Chatham,0,0,0,0,1,0,0,1
35,CAMPO,Chatham,0,0,0,0,0,1,0,1
36,CAMPO,Chatham,0,0,0,1,0,1,0,1
37,CAMPO,Chatham,0,0,0,0,0,1,0,1
38,CAMPO,Chatham,0,0,0,0,0,1,0,1
39,CAMPO,Chatham,0,0,0,0,0,1,0,1
40,CAMPO,Chatham,0,0,0,0,1,0,0,1
41,DCHC,Chatham,0,0,0,0,1,0,0,1
42,CAMPO,Chatham,0,0,0,0,1,0,0,1
43,CAMPO,Chatham,0,0,0,0,1,0,0,1
44,CAMPO,Chatham,0,0,0,0,0,1,0,1
45,CAMPO,Chatham,0,0,0,0,0,1,0,1
46,CAMPO,Chatham,0,0,1,0,1,1,0,1
47,CAMPO,Chatham,0,0,1,0,1,1,0,1
48,CAMPO,Chatham,0,0,1,0,1,1,0,1
49,CAMPO,Chatham,0,0,1,0,1,1,0,1
50,CAMPO,Chatham,0,0,0,0,0,1,0,1
51,CAMPO,Chatham,0,0,1,0,1,1,0,1
52,CAMPO,Chatham,0,0,1,0,1,1,0,1
53,CAMPO,Chatham,0,0,0,0,0,0,0,1
54,CAMPO,Chatham,0,0,0,0,0,0,0,1
55,CAMPO,Chatham,0,0,0,0,0,0,0,1
56,None,Chatham,0,0,0,0,0,0,0,1
57,None,Chatham,0,0,0,0,0,0,0,1
58,None,Chatham,0,0,0,0,0,0,0,1
59,None,Chatham,0,0,0,0,0,0,0,1
60,None,Chatham,0,0,0,0,0,0,0,1
61,None,Chatham,0,0,0,0,0,0,0,1
62,None,Chatham,0,0,0,0,0,0,0,1
63,None,Chatham,0,0,0,0,0,0,0,1
64,DCHC,Chatham,0,0,0,0,0,0,0,1
65,None,Chatham,0,0,0,0,0,0,0,1
66,None,Chatham,0,0,0,0,0,0,0,1
67,DCHC,Chatham,0,0,0,0,0,0,0,1
68,DCHC,Chatham,0,0,0,0,0,0,0,1
69,None,Chatham,0,0,0,0,0,0,0,1
70,None,Chatham,0,0,0,0,0,0,0,1
71,None,Chatham,0,0,0,0,0,0,0,1
72,None,Chatham,0,0,0,0,0,0,0,1
73,None,Chatham,0,0,0,0,0,0,0,1
74,None,Chatham,0,0,0,0,0,0,0,1
75,None,Chatham,0,0,0,0,0,0,0,1
76,None,Chatham,0,0,0,0,0,0,0,1
77,None,Chatham,0,0,0,0,0,0,0,1
78,DCHC,Durham,0,0,0,1,0,1,0,1
79,DCHC,Durham,0,0,0,0,0,0,0,1
80,DCHC,Durham,0,0,0,0,0,1,0,1
81,DCHC,Durham,0,0,0,1,0,0,1,1
82,DCHC,Durham,0,0,0,1,0,0,1,1
83,DCHC,Durham,0,0,0,1,0,0,1,1
84,DCHC,Durham,0,0,0,1,0,0,1,1
85,DCHC,Durham,0,0,0,0,0,0,0,1
86,DCHC,Durham,0,0,0,1,1,0,0,1
87,DCHC,Durham,0,0,0,1,0,0,0,1
88,DCHC,Durham,0,0,0,1,0,0,0,1
89,DCHC,Durham,0,0,0,1,0,0,0,1
90,DCHC,Durham,0,0,0,1,0,0,0,1
91,DCHC,Durham,1,0,0,1,0,0,0,1
92,DCHC,Durham,1,0,0,1,0,0,0,1
