Geo_FIPS,total,poverty,non-poverty
370010201001,527,94,433
370010201002,625,75,550
370010201003,401,166,235
370010201004,289,81,208
370010202001,242,84,158
370010202002,150,23,127
370010202003,362,147,215
370010202004,595,299,296
370010203011,410,124,286
370010203012,363,50,313
370010203013,649,192,457
370010203021,485,19,466
370010203022,743,173,570
370010204001,1098,397,701
370010204002,475,135,340
370010204003,287,64,223
370010204004,127,57,70
370010204005,539,26,513
370010205011,967,153,814
370010205012,413,18,395
370010205021,1028,396,632
370010205022,185,59,126
370010205023,263,8,255
370010206011,409,19,390
370010206012,436,0,436
370010206013,586,19,567
370010206021,275,0,275
370010206022,1024,64,960
370010207011,670,114,556
370010207012,595,79,516
370010207013,294,38,256
370010207014,856,12,844
370010207021,601,38,563
370010207022,627,221,406
370010207023,842,81,761
370010207024,465,106,359
370010208011,689,39,650
370010208021,273,79,194
370010208022,337,94,243
370010208023,679,213,466
370010208024,289,131,158
370010208025,202,9,193
370010208026,536,61,475
370010209011,599,15,584
370010209012,432,56,376
370010209013,500,39,461
370010209021,803,110,693
370010209022,670,25,645
370010210001,614,245,369
370010210002,684,283,401
370010210003,398,149,249
370010211011,247,0,247
370010211012,885,139,746
370010211013,163,53,110
370010211021,421,157,264
370010211022,391,22,369
370010211023,638,126,512
370010212011,985,119,866
370010212012,808,108,700
370010212013,425,42,383
370010212041,448,90,358
370010212042,1479,174,1305
370010212051,280,15,265
370010212052,1064,154,910
370010212053,1804,164,1640
370010212061,407,68,339
370010212062,1035,0,1035
370010212063,585,74,511
370010212071,767,95,672
370010212072,726,162,564
370010213001,536,44,492
370010213002,452,58,394
370010213003,395,40,355
370010213004,547,11,536
370010213005,452,47,405
370010214001,637,56,581
370010214002,619,72,547
370010215001,403,22,381
370010215002,442,8,434
370010215003,832,54,778
370010216001,423,49,374
370010216002,592,49,543
370010216003,631,0,631
370010216004,633,118,515
370010217011,579,23,556
370010217012,962,27,935
370010217021,510,369,141
370010217022,1000,0,1000
370010217023,653,191,462
370010217031,1340,13,1327
370010217032,977,54,923
370010217033,582,88,494
370010218011,930,25,905
370010218012,505,9,496
370010218013,358,49,309
370010218021,718,71,647
370010218022,696,65,631
370010218031,701,75,626
370010218032,525,56,469
370010219011,547,133,414
370010219012,809,30,779
370010219013,532,53,479
370010219021,617,41,576
370010219022,286,0,286
370010219023,714,90,624
370010220011,816,63,753
370010220012,676,40,636
370010220021,735,40,695
370010220022,521,173,348
370010220023,406,45,361
370030401001,481,32,449
370030401002,200,56,144
370030401003,539,80,459
370030402001,462,32,430
370030402002,259,48,211
370030402003,987,65,922
370030403001,397,66,331
370030403002,857,95,762
370030404001,740,156,584
370030404002,416,153,263
370030404003,667,47,620
370030404004,497,91,406
370030404005,444,75,369
370030405001,521,53,468
370030405002,324,79,245
370030405003,693,59,634
370030405004,844,84,760
370030406001,565,24,541
370030406002,556,0,556
370030406003,507,54,453
370030406004,356,69,287
370030407001,435,0,435
370030407002,693,43,650
370030407003,690,49,641
370030407004,919,92,827
370059501001,442,114,328
370059501002,395,78,317
370059501003,511,157,354
370059501004,471,47,424
370059502001,460,114,346
370059502002,331,82,249
370059502003,634,139,495
370059502004,306,25,281
370059503001,514,138,376
370059503002,578,41,537
370059503003,359,68,291
370079201001,343,113,230
370079201002,574,87,487
370079201003,618,108,510
370079202001,830,220,610
370079203011,517,13,504
370079203012,826,105,721
370079203013,685,59,626
370079203021,178,0,178
370079204001,328,125,203
370079204002,303,36,267
370079204003,640,284,356
370079205011,417,42,375
370079205021,438,147,291
370079205022,234,26,208
370079205023,530,68,462
370079205024,594,94,500
370079206001,672,69,603
370079206002,542,91,451
370079206003,534,75,459
370079800001,0,0,0
370099702001,352,76,276
370099702002,486,49,437
370099702003,398,33,365
370099703001,622,207,415
370099703002,542,72,470
370099704001,524,92,432
370099704002,813,82,731
370099704003,888,126,762
370099705011,608,152,456
370099705012,197,74,123
370099705013,402,52,350
370099705021,448,66,382
370099705022,337,70,267
370099705023,375,37,338
370099707011,128,24,104
370099707012,546,0,546
370099707013,250,0,250
370099707014,880,128,752
370099707021,479,18,461
370099707022,404,13,391
370099708011,240,112,128
370099708012,359,101,258
370099708013,315,3,312
370099708021,650,115,535
370099708022,126,36,90
370099708023,516,152,364
370119301001,628,94,534
370119301002,402,5,397
370119301003,270,94,176
370119302001,404,35,369
370119302002,282,61,221
370119302003,429,9,420
370119303011,469,59,410
370119303012,361,90,271
370119303013,367,56,311
370119303014,580,61,519
370119303021,178,45,133
370119303022,516,127,389
370119303023,346,87,259
370119304001,460,54,406
370119304002,465,0,465
370119304003,412,72,340
370139301011,535,88,447
370139301012,257,11,246
370139301013,536,77,459
370139301021,247,37,210
370139301022,295,70,225
370139301023,235,86,149
370139302001,1065,238,827
370139302002,763,0,763
370139302003,480,119,361
370139302004,252,134,118
370139303001,780,274,506
370139303002,257,35,222
370139303003,596,132,464
370139304001,275,31,244
370139304002,1029,72,957
370139304003,514,215,299
370139304004,465,353,112
370139305011,884,74,810
370139305012,672,276,396
370139305013,538,14,524
370139305021,454,54,400
370139305022,278,0,278
370139305023,818,170,648
370139306001,467,22,445
370139306002,171,7,164
370139306003,686,41,645
370139307001,522,107,415
370139307002,430,32,398
370139307003,294,22,272
370139308001,379,129,250
370139308002,376,106,270
370139308003,384,115,269
370139309001,494,34,460
370139309002,310,61,249
370139309003,744,20,724
370139309004,301,0,301
370139310011,424,12,412
370139310012,641,92,549
370139310021,907,196,711
370139310022,464,47,417
370159601001,422,67,355
370159601002,273,30,243
370159601003,508,151,357
370159601004,349,32,317
370159601005,409,139,270
